CustomerID,Cluster
C0001,3
C0002,3
C0003,2
C0004,1
C0005,3
C0006,4
C0007,3
C0008,1
C0009,0
C0010,3
C0011,3
C0012,2
C0013,1
C0014,0
C0015,0
C0016,2
C0017,1
C0018,2
C0019,3
C0020,4
C0021,1
C0022,2
C0023,3
C0024,2
C0025,3
C0026,4
C0027,3
C0028,1
C0029,3
C0030,2
C0031,2
C0032,0
C0033,0
C0034,2
C0035,2
C0036,2
C0037,3
C0038,3
C0039,2
C0040,4
C0041,1
C0042,3
C0043,0
C0044,4
C0045,1
C0046,2
C0047,2
C0048,2
C0049,2
C0050,4
C0051,2
C0052,2
C0053,3
C0054,1
C0055,2
C0056,2
C0057,2
C0058,0
C0059,1
C0060,0
C0061,3
C0062,3
C0063,0
C0064,2
C0065,1
C0066,4
C0067,2
C0068,1
C0069,2
C0070,3
C0071,3
C0072,2
C0073,3
C0074,3
C0075,1
C0076,2
C0077,0
C0078,4
C0079,3
C0080,4
C0081,2
C0082,1
C0083,0
C0084,1
C0085,4
C0086,3
C0087,1
C0088,3
C0089,4
C0090,2
C0091,1
C0092,2
C0093,1
C0094,0
C0095,0
C0096,4
C0097,0
C0098,2
C0099,1
C0100,3
C0101,1
C0102,1
C0103,3
C0104,1
C0105,2
C0106,3
C0107,3
C0108,1
C0109,1
C0110,4
C0111,2
C0112,3
C0113,1
C0114,4
C0115,4
C0116,2
C0117,4
C0118,3
C0119,0
C0120,3
C0121,0
C0122,1
C0123,0
C0124,2
C0125,3
C0126,2
C0127,2
C0128,0
C0129,4
C0130,0
C0131,3
C0132,3
C0133,3
C0134,3
C0135,3
C0136,1
C0137,2
C0138,4
C0139,3
C0140,4
C0141,1
C0142,2
C0143,1
C0144,2
C0145,1
C0146,2
C0147,1
C0148,4
C0149,3
C0150,0
C0151,0
C0152,3
C0153,3
C0154,2
C0155,1
C0156,1
C0157,2
C0158,4
C0159,3
C0160,3
C0161,3
C0162,1
C0163,1
C0164,3
C0165,1
C0166,3
C0167,4
C0168,4
C0169,1
C0170,4
C0171,4
C0172,2
C0173,1
C0174,3
C0175,1
C0176,3
C0177,2
C0178,2
C0179,3
C0181,2
C0182,4
C0183,2
C0184,3
C0185,4
C0186,0
C0187,4
C0188,1
C0189,2
C0190,2
C0191,2
C0192,3
C0193,3
C0194,2
C0195,2
C0196,4
C0197,3
C0198,0
C0199,3
C0200,4
