CustomerID,Lookalikes
C0001,"[('C0152', 0.9309902841743932), ('C0118', 0.9135659526341364), ('C0174', 0.88601071840659)]"
C0002,"[('C0106', 0.9102376834728272), ('C0134', 0.875429974165893), ('C0159', 0.8431380575021298)]"
C0003,"[('C0190', 0.8791427391824223), ('C0052', 0.8461003210714395), ('C0129', 0.823020032120179)]"
C0004,"[('C0113', 0.9811282825015989), ('C0102', 0.9676258722113927), ('C0165', 0.9621023537099129)]"
C0005,"[('C0007', 0.9334230006386238), ('C0159', 0.9184174408164624), ('C0027', 0.8060069138780774)]"
C0006,"[('C0187', 0.8784697251537162), ('C0168', 0.8317940576848463), ('C0158', 0.7957419286915544)]"
C0007,"[('C0005', 0.9334230006386238), ('C0159', 0.8732300952877314), ('C0140', 0.8276233023140765)]"
C0008,"[('C0024', 0.8764626122888831), ('C0156', 0.8740322132841802), ('C0049', 0.8739345100089914)]"
C0009,"[('C0121', 0.8820421640898884), ('C0119', 0.8700651268558681), ('C0014', 0.8499303586532875)]"
C0010,"[('C0062', 0.8557677906340897), ('C0086', 0.8315363556199068), ('C0103', 0.8044915284640196)]"
C0011,"[('C0107', 0.9186101530081747), ('C0153', 0.8626180474086577), ('C0174', 0.856913164697226)]"
C0012,"[('C0039', 0.9524927866843133), ('C0195', 0.9323103437403322), ('C0013', 0.9001549897452983)]"
C0013,"[('C0087', 0.9476593872131082), ('C0012', 0.9001549897452983), ('C0039', 0.8815862081047773)]"
C0014,"[('C0151', 0.9039933772218429), ('C0097', 0.8939451257826313), ('C0009', 0.8499303586532875)]"
C0015,"[('C0058', 0.8877377961851848), ('C0036', 0.8783982681085281), ('C0144', 0.8317550080220604)]"
C0016,"[('C0183', 0.971479627209003), ('C0026', 0.8620539871985632), ('C0050', 0.7830700412379168)]"
C0017,"[('C0075', 0.9317792555152092), ('C0124', 0.8910922705326665), ('C0041', 0.8410939992292377)]"
C0018,"[('C0117', 0.874110965123126), ('C0046', 0.862197682492616), ('C0026', 0.8218776985868455)]"
C0019,"[('C0121', 0.8296451033879455), ('C0086', 0.7927063674775086), ('C0119', 0.784826843502697)]"
C0020,"[('C0050', 0.9082921315768612), ('C0078', 0.8091455756788102), ('C0110', 0.7955278961786671)]"
